predictor,response
3.334272113,12.03781287
3.467482482,10.12879833
3.984854114,11.16009923
7.846927757,12.20224816
0.389364911,10.48214131
7.487953862,11.39146626
6.772768302,12.86607566
1.712643304,10.24786962
2.610879638,12.54059964
5.144129347,10.96611177
6.756072745,12.6560842
9.828171979,14.25227979
7.595442676,10.13022783
5.664884241,10.85418808
8.496897186,11.5660581
1.894739354,11.01489827
2.712866147,10.25832031
8.281584852,8.99986155
6.932048204,8.945942712
2.405447396,11.80120283
0.42988796,9.779338998
1.404790941,8.499649754
2.163854151,10.26085347
4.793985642,12.17347183
1.974103423,12.29001415
